基金代码,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
519908.OF,,,46.34362030029297,70.86619567871094,42.24565505981445,78.77925872802734,73.89680480957031,67.03543853759766,93.01529693603516,76.1209945678711,73.00477600097656,68.14945983886719,75.05894470214844,60.96372985839844,53.6711540222168,57.91984176635742,51.304832458496094,72.1881103515625,63.3057746887207,40.380863189697266,61.796897888183594,48.44978713989258,67.49967193603516,71.58802032470703,70.90290832519531,77.63463592529297,67.8733901977539,72.50111389160156,61.42134475708008,69.36478424072266,67.7340316772461,66.28581237792969,78.57890319824219,79.12713623046875,77.95552062988281,79.06483459472656,76.58991241455078,75.35027313232422,79.2042007446289,70.15412902832031,67.47981262207031,35.88711166381836,47.05455780029297,54.02641296386719,50.17414093017578,78.31744384765625,76.79948425292969,76.64498901367188,73.69023895263672,76.73674774169922,77.64356231689453,75.89232635498047,75.92584228515625,75.94514465332031,75.16889953613281,70.61456298828125,75.02423858642578,73.80583190917969,66.9041976928711,64.43761444091797,66.3336410522461,80.88202667236328,83.98802185058594,75.50875091552734,63.829837799072266,74.82632446289062,85.87684631347656,89.45045471191406,88.86280059814453,92.66580200195312,85.1283950805664,90.41217803955078,86.66560363769531,84.76402282714844,77.2199935913086,88.43637084960938,82.61368560791016,85.08731842041016,86.49363708496094,90.61183166503906,91.09443664550781,86.72099304199219,80.40330505371094,65.27006530761719,79.81935119628906,89.88571166992188,89.18167114257812,93.24761962890625,85.81743621826172,93.02963256835938,92.21133422851562,92.84143829345703,89.81710815429688,89.37654113769531
519002.OF,,,47.79246139526367,67.96434020996094,64.86007690429688,79.06438446044922,78.79922485351562,75.31216430664062,68.36152648925781,74.69886779785156,65.07815551757812,71.96743774414062,84.29340362548828,72.36418151855469,44.09419631958008,49.20814895629883,49.58995056152344,59.09318923950195,64.05184173583984,66.08330535888672,76.2313003540039,71.16761779785156,62.98955154418945,73.10186004638672,70.68404388427734,68.45294952392578,67.74549102783203,65.74691009521484,72.32110595703125,72.25969696044922,75.87632751464844,74.04734802246094,76.38507080078125,75.72589874267578,73.21681213378906,77.13924407958984,70.65878295898438,76.23993682861328,73.24529266357422,74.90790557861328,52.028038024902344,56.33852005004883,60.26728820800781,58.75762176513672,72.56420135498047,75.53900146484375,73.3766098022461,77.87032318115234,60.13068771362305,63.33203887939453,76.38423156738281,76.85435485839844,77.84486389160156,76.05659484863281,70.18915557861328,75.28947448730469,77.12114715576172,73.74967956542969,71.67665100097656,70.32875061035156,33.94028091430664,33.5401611328125,89.8434829711914,89.38665008544922,90.73478698730469,92.61320495605469,94.56231689453125,92.76841735839844,92.44432067871094,94.31806182861328,86.27537536621094,91.59077453613281,91.69807434082031,88.54409790039062,92.84984588623047,91.21887969970703,85.94026184082031,87.99378204345703,89.33726501464844,91.04463195800781,93.47782135009766,87.25623321533203,88.43612670898438,80.53959655761719,92.57281494140625,89.44412231445312,91.06390380859375,90.65790557861328,88.0676040649414,93.53157043457031,88.37744903564453,93.64372253417969,90.36896514892578,89.42935943603516
000264.OF,,,,77.29644775390625,66.90092468261719,78.71516418457031,78.01384735107422,70.72528839111328,78.16778564453125,71.47990417480469,75.41873168945312,77.9669189453125,75.6791763305664,66.24322509765625,56.86737060546875,54.65681076049805,30.252225875854492,67.25030517578125,55.72514724731445,72.53665924072266,67.09695434570312,58.464725494384766,70.05284118652344,69.1019515991211,69.63060760498047,62.75912094116211,65.53411102294922,69.56002044677734,62.95608901977539,67.01677703857422,73.23346710205078,78.599609375,78.17771911621094,77.92430877685547,74.67572784423828,78.79410552978516,65.8349380493164,70.74694061279297,71.9217758178711,76.1860122680664,46.22420883178711,66.63359832763672,78.58869934082031,76.54316711425781,73.85356140136719,79.15670013427734,73.79098510742188,73.85720825195312,43.595340728759766,74.3161849975586,79.00837707519531,74.0279769897461,68.1584243774414,66.9344482421875,58.06703567504883,60.11739730834961,73.08672332763672,74.84507751464844,63.40716552734375,77.28843688964844,76.05613708496094,49.82698059082031,50.15220642089844,78.32798767089844,71.87488555908203,71.84699249267578,72.55772399902344,72.88117980957031,78.54700469970703,74.02043151855469,77.5908203125,77.38414001464844,76.60881805419922,77.275390625,76.90345764160156,73.92010498046875,75.58490753173828,75.63248443603516,68.0890121459961,76.512939453125,76.97490692138672,76.83049011230469,79.06219482421875,74.38249206542969,78.29413604736328,60.955413818359375,76.53341674804688,76.07307434082031,67.10668182373047,77.89539337158203,74.84380340576172,76.35558319091797,78.65215301513672,78.15122985839844
184688.OF,,76.26396942138672,56.173240661621094,51.39532470703125,56.59519577026367,77.92069244384766,73.43461608886719,73.5139389038086,73.62612915039062,75.38319396972656,69.65608215332031,74.74224090576172,75.22969818115234,68.63986206054688,49.13294982910156,43.71526336669922,57.4869384765625,60.20360565185547,57.303131103515625,50.19029235839844,55.62853240966797,59.21509552001953,58.869083404541016,71.04864501953125,76.37359619140625,75.72015380859375,69.44275665283203,75.52873229980469,71.02572631835938,71.17899322509766,72.81756591796875,58.02153778076172,76.45645141601562,76.80099487304688,78.05419158935547,79.45218658447266,68.69522094726562,75.08972930908203,78.24378204345703,76.46969604492188,43.87185287475586,75.14014434814453,79.29862213134766,71.73063659667969,50.35232162475586,55.615684509277344,58.0644416809082,53.71214294433594,55.337520599365234,77.61854553222656,79.06351470947266,77.99726867675781,70.52155303955078,78.86599731445312,74.82373046875,74.07685089111328,77.23636627197266,74.16521453857422,73.39653015136719,76.34947967529297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184689.OF,,,,,23.76982307434082,78.92198181152344,71.04924774169922,72.52001953125,82.65190124511719,69.53472900390625,69.32823944091797,69.75814056396484,72.13410186767578,66.2572250366211,46.72972106933594,39.622188568115234,47.555381774902344,76.62216186523438,61.668296813964844,51.339717864990234,63.046661376953125,65.43962860107422,61.186031341552734,68.07298278808594,68.5469970703125,59.37591552734375,56.61746597290039,64.74081420898438,64.47357940673828,62.583274841308594,74.10970306396484,69.69760131835938,77.56993103027344,74.03547668457031,77.30660247802734,77.9411849975586,71.41913604736328,76.8066635131836,77.23694610595703,78.77938079833984,66.46951293945312,71.32369995117188,47.76788330078125,59.68686294555664,71.22799682617188,77.57679748535156,70.49212646484375,78.5567626953125,73.20201873779297,67.45332336425781,77.4241943359375,78.2476577758789,69.63375091552734,75.68671417236328,66.20973205566406,73.11327362060547,72.29451751708984,72.35906982421875,60.98732376098633,78.3036880493164,62.40617752075195,63.9495735168457,69.79667663574219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184699.OF,,,,,,,,,74.89452362060547,68.78194427490234,66.78160858154297,73.67570495605469,74.2197265625,70.5737075805664,47.926727294921875,51.1353874206543,51.00027847290039,73.45801544189453,72.9115982055664,67.29894256591797,58.647979736328125,60.387611389160156,60.14781188964844,77.37191009521484,77.31602478027344,77.86996459960938,72.66071319580078,62.448143005371094,64.94151306152344,70.61091613769531,71.6891098022461,69.7608413696289,75.20046997070312,79.06724548339844,77.80191802978516,79.32831573486328,70.71172332763672,78.43338012695312,78.82386016845703,79.00407409667969,65.08629608154297,69.62800598144531,64.6884536743164,65.07567596435547,72.8544921875,77.18122100830078,75.97212982177734,79.10665893554688,77.81620788574219,67.84903717041016,76.94010925292969,75.02794647216797,76.86863708496094,74.5485610961914,71.75130462646484,72.78907775878906,72.04517364501953,73.4388427734375,64.59078979492188,75.62841033935547,69.38005065917969,65.23894500732422,76.5594482421875,66.25788879394531,65.46443176269531,78.46505737304688,67.93311309814453,,,,,,,,,,,,,,,,,,,,,,,,,,,
184703.OF,,,,,,,,,,,61.589210510253906,74.15169525146484,77.3441390991211,66.28410339355469,61.975276947021484,59.76631164550781,52.70127868652344,65.54953002929688,61.722984313964844,56.93290710449219,61.23920440673828,65.2965316772461,58.981163024902344,72.2960433959961,74.33912658691406,70.07487487792969,70.88738250732422,73.33497619628906,72.2032699584961,72.3704605102539,75.66293334960938,73.08378601074219,78.47795867919922,76.37659454345703,74.9779281616211,78.33920288085938,77.33451080322266,78.18990325927734,78.53404235839844,74.48826599121094,71.02345275878906,61.00322341918945,71.02836608886719,68.57701873779297,69.64392852783203,69.60929107666016,30.846261978149414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184705.OF,,,,,,,,,,48.69353103637695,65.90824127197266,75.82569122314453,62.05979919433594,68.2074203491211,59.71534729003906,52.825496673583984,57.454811096191406,74.11878967285156,62.9734001159668,68.24073791503906,60.75585174560547,73.43306732177734,68.49114227294922,68.0355453491211,77.56427764892578,72.90922546386719,73.53611755371094,63.736934661865234,53.4836311340332,70.5222396850586,68.36988067626953,75.66415405273438,69.12040710449219,75.84524536132812,75.3090591430664,78.64048767089844,69.78655242919922,79.09925842285156,69.01121520996094,75.53495788574219,25.299819946289062,22.31346893310547,69.22689056396484,73.50719451904297,70.84532928466797,79.07170867919922,64.43988800048828,74.73603057861328,69.37252807617188,73.40838623046875,69.01412963867188,77.48934936523438,63.14583206176758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160624.OF,,,,,23.76982307434082,78.92198181152344,71.04924774169922,72.52001953125,82.65190124511719,69.53472900390625,69.32823944091797,69.75814056396484,72.13410186767578,66.2572250366211,46.72972106933594,39.622188568115234,47.555381774902344,76.62216186523438,61.668296813964844,51.339717864990234,63.046661376953125,65.43962860107422,61.186031341552734,68.07298278808594,68.5469970703125,59.37591552734375,56.61746597290039,64.74081420898438,64.47357940673828,62.583274841308594,74.10970306396484,69.69760131835938,77.56993103027344,74.03547668457031,77.30660247802734,77.9411849975586,71.41913604736328,76.8066635131836,77.23694610595703,78.77938079833984,66.46951293945312,71.32369995117188,47.76788330078125,59.68686294555664,71.22799682617188,77.57679748535156,70.49212646484375,78.5567626953125,73.20201873779297,67.45332336425781,77.4241943359375,78.2476577758789,69.63375091552734,75.68671417236328,66.20973205566406,73.11327362060547,72.29451751708984,72.35906982421875,60.98732376098633,78.3036880493164,62.40617752075195,63.9495735168457,69.79667663574219,58.888431549072266,33.161643981933594,71.87337493896484,77.60828399658203,88.79937744140625,90.94290924072266,94.37635040283203,90.48570251464844,83.75203704833984,94.2723617553711,91.60285949707031,92.63516998291016,83.76398468017578,92.81352996826172,90.5405044555664,87.50726318359375,91.84625244140625,82.95390319824219,75.71780395507812,77.7520523071289,70.03866577148438,87.41783905029297,85.69087219238281,88.0574951171875,94.2076187133789,89.41204833984375,94.71688842773438,92.77908325195312,93.93775939941406,89.88164520263672,93.0573501586914
184692.OF,,,,,,,76.55029296875,63.571502685546875,75.2822494506836,75.1680908203125,72.2470932006836,78.65643310546875,72.75296020507812,66.53998565673828,54.74980926513672,50.742733001708984,57.818878173828125,77.69471740722656,75.30548858642578,65.07009887695312,61.721832275390625,59.461124420166016,68.97764587402344,73.62774658203125,74.3550796508789,72.46366882324219,62.924652099609375,73.02186584472656,66.2242431640625,69.85679626464844,67.74664306640625,75.31075286865234,75.14824676513672,75.44888305664062,75.27727508544922,78.50743103027344,64.85546875,77.24786376953125,74.31024169921875,55.65391159057617,33.03982162475586,57.424869537353516,63.974056243896484,66.2169418334961,67.16300964355469,75.64505004882812,48.05882263183594,70.7674331665039,54.59482192993164,68.8714828491211,67.42561340332031,76.54298400878906,67.53634643554688,78.4730224609375,76.40625762939453,78.40849304199219,78.2319564819336,78.42672729492188,77.44841766357422,79.17546844482422,76.6385269165039,75.22602081298828,76.35892486572266,75.76603698730469,76.40876770019531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
